latitude,longitude,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8075,,,,,
13.5771,100.8076,,,,,
13.5771,100.8076,,,,,
13.5771,100.8076,,,,,
13.577,100.8077,,,,,
13.577,100.8077,,,,,
13.5769,100.8078,,,,,
13.5769,100.8078,,,,,
13.5768,100.8079,,,,,
13.5768,100.808,,,,,
13.5767,100.8081,,,,,
13.5766,100.8082,,,,,
13.5766,100.8083,,,,,
13.5765,100.8084,,,,,
13.5764,100.8086,,,,,
13.5763,100.8087,,,,,
13.5762,100.8089,,,,,
13.5761,100.809,,,,,
13.576,100.8091,,,,,
13.5759,100.8091,,,,,
13.5758,100.8092,,,,,
13.5757,100.8094,,,,,
13.5757,100.8095,,,,,
13.5756,100.8096,,,,,
13.5755,100.8098,,,,,
13.5754,100.8099,,,,,
13.5753,100.81,,,,,
13.5751,100.8102,,,,,
13.575,100.8103,,,,,
13.5749,100.8104,,,,,
13.5748,100.8106,,,,,
13.5747,100.8107,,,,,
13.5746,100.8109,,,,,
13.5745,100.811,,,,,
13.5744,100.8112,,,,,
13.5743,100.8113,,,,,
13.5742,100.8114,,,,,
13.5741,100.8115,,,,,
13.574,100.8115,,,,,
13.574,100.8117,,,,,
13.5739,100.8118,,,,,
13.5739,100.8118,,,,,
13.5738,100.8119,,,,,
13.5738,100.812,,,,,
13.5737,100.8121,,,,,
13.5737,100.8121,,,,,
13.5736,100.8122,,,,,
13.5736,100.8123,,,,,
13.5735,100.8124,,,,,
13.5734,100.8125,,,,,
13.5734,100.8126,,,,,
13.5733,100.8127,,,,,
13.5732,100.8128,,,,,
13.5731,100.8129,,,,,
13.5731,100.813,,,,,
13.573,100.8131,,,,,
13.5729,100.8132,,,,,
13.5728,100.8133,,,,,
13.5727,100.8134,,,,,
13.5726,100.8136,,,,,
13.5725,100.8137,,,,,
13.5725,100.8138,,,,,
13.5724,100.8139,,,,,
13.5723,100.8141,,,,,
13.5722,100.8142,,,,,
13.5721,100.8143,,,,,
13.572,100.8144,,,,,
13.5719,100.8146,,,,,
13.5718,100.8147,,,,,
13.5717,100.8149,,,,,
13.5716,100.815,,,,,
13.5715,100.8151,,,,,
13.5714,100.8152,,,,,
13.5713,100.8154,,,,,
13.5712,100.8155,,,,,
13.5711,100.8157,,,,,
13.571,100.8158,,,,,
13.5709,100.8159,,,,,
13.5708,100.8161,,,,,
13.5707,100.8162,,,,,
13.5706,100.8163,,,,,
13.5705,100.8165,,,,,
13.5704,100.8166,,,,,
13.5703,100.8167,,,,,
13.5702,100.8168,,,,,
13.5701,100.817,,,,,
13.57,100.8171,,,,,
13.57,100.8172,,,,,
13.5699,100.8173,,,,,
13.5698,100.8174,,,,,
13.5697,100.8175,,,,,
13.5696,100.8176,,,,,
13.5696,100.8177,,,,,
13.5695,100.8178,,,,,
13.5694,100.8179,,,,,
13.5693,100.818,,,,,
13.5692,100.8182,,,,,
13.5692,100.8183,,,,,
13.5691,100.8184,,,,,
13.569,100.8185,,,,,
13.5689,100.8186,,,,,
13.5688,100.8187,,,,,
13.5687,100.8188,,,,,
13.5687,100.8189,,,,,
13.5686,100.819,,,,,
13.5685,100.8192,,,,,
13.5684,100.8193,,,,,
13.5683,100.8194,,,,,
13.5683,100.8195,,,,,
13.5682,100.8196,,,,,
13.5681,100.8197,,,,,
13.5681,100.8199,,,,,
13.568,100.82,,,,,
13.568,100.8201,,,,,
13.5679,100.8203,,,,,
13.5679,100.8204,,,,,
13.5678,100.8205,,,,,
13.5678,100.8207,,,,,
13.5677,100.8208,,,,,
13.5677,100.8209,,,,,
13.5677,100.8211,,,,,
13.5676,100.8212,,,,,
13.5676,100.8213,,,,,
13.5676,100.8214,,,,,
13.5676,100.8216,,,,,
13.5676,100.8217,,,,,
13.5676,100.8218,,,,,
13.5675,100.8219,,,,,
13.5675,100.822,,,,,
13.5675,100.8221,,,,,
13.5675,100.8222,,,,,
